rank,player,role,lp,wins,losses,win_rate
1,AKALIKING#本体はゼド,MID,1598,98,56,63.6%
2,sign#520am,SUP,1559,190,117,61.9%
3,鉄砲玉#JP1,TOP,1509,153,112,57.7%
4,天狐ハク#戀慕之情,MID,1454,154,91,62.9%
5,無愛想#可愛くない,TOP,1443,116,62,65.2%
6,Mokurooo#NKG,ADC,1396,111,68,62.0%
7,かなう#burin,TOP,1320,101,70,59.1%
8,Asuki#JP1,ADC,1319,128,94,57.7%
9,senzawa#JP1,JUNGLE,1312,105,80,56.8%
10,さくら#9090,MID,1293,146,106,57.9%
11,ytzz#2426,ADC,1243,107,77,58.2%
12,定风波#520,JUNGLE,1218,172,133,56.4%
13,Sunflower#JP2,TOP,1217,125,52,70.6%
14,Recap#125,MID,1215,171,128,57.2%
15,ωNαNαω#404ad,ADC,1181,110,89,55.3%
16,白鶴仙童#MYZZ,JUNGLE,1152,158,97,62.0%
17,RuneFactoryが大好きね#BlauR,ADC,1148,128,85,60.1%
18,潔世一#Majin,ADC,1132,79,48,62.2%
19,Melody#I L,JUNGLE,1122,229,189,54.8%
20,I Am AtomiK#シャドウ,JUNGLE,1112,198,180,52.4%
21,天才剑修#巧克力,SUP,1112,108,66,62.1%
22,ユーハイ#045,ADC,1109,209,130,61.7%
23,くるみかん#123,JUNGLE,1108,224,190,54.1%
24,akaros#そらか,SUP,1106,86,51,62.8%
25,Eugeo#DCWIN,MID,1087,82,44,65.1%
26,Dopaminw#OUI,JUNGLE,1085,189,154,55.1%
27,しゅんた1106#JP1,TOP,1077,133,129,50.8%
28,jisoo#bp777,ADC,1075,107,65,62.2%
29,Enty#ENTP1,SUP,1069,203,165,55.2%
30,黄色のヨッシー#JP1,TOP,1057,115,87,56.9%
31,,SUP,1055,78,51,60.5%
32,,JUNGLE,1052,96,67,58.9%
33,,ADC,1047,83,62,57.2%
34,,ADC,1046,100,74,57.5%
35,,SUP,1042,134,103,56.5%
36,,SUP,1042,85,54,61.2%
37,,MID,1039,141,97,59.2%
38,,JUNGLE,1034,109,94,53.7%
39,,ADC,1032,96,69,58.2%
40,,TOP,1032,77,56,57.9%
41,,MID,1028,82,39,67.8%
42,,TOP,1021,70,44,61.4%
43,,JUNGLE,1020,79,62,56.0%
44,,MID,1016,107,79,57.5%
45,,JUNGLE,1014,117,66,63.9%
46,,ADC,1012,72,44,62.1%
47,,MID,1011,85,59,59.0%
48,,ADC,1010,135,101,57.2%
49,,SUP,1008,138,113,55.0%
50,,JUNGLE,961,122,98,55.5%
