rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,senzawa#JP1,JUNGLE,1633,140,96,59.3%
2,Challenger,AKALIKING#本体はゼド,MID,1581,104,62,62.7%
3,Challenger,鉄砲玉#JP1,TOP,1554,159,114,58.2%
4,Challenger,sign#520am,SUP,1508,198,127,60.9%
5,Challenger,Mokurooo#NKG,ADC,1432,118,74,61.5%
6,Challenger,天狐ハク#戀慕之情,MID,1367,156,97,61.7%
7,Challenger,無愛想#可愛くない,TOP,1337,121,71,63.0%
8,Challenger,天才剑修#巧克力,SUP,1330,130,77,62.8%
9,Challenger,ytzz#2426,TOP,1307,119,86,58.0%
10,Challenger,jisoo#bp777,ADC,1234,132,81,62.0%
11,Challenger,,TOP,1217,125,52,70.6%
12,Challenger,,MID,1209,153,116,56.9%
13,Challenger,,SUP,1205,93,53,63.7%
14,Challenger,,ADC,1170,132,88,60.0%
15,Challenger,,JUNGLE,1168,231,193,54.5%
16,Challenger,,TOP,1162,81,49,62.3%
17,Challenger,,JUNGLE,1152,232,190,55.0%
18,Challenger,,TOP,1150,131,100,56.7%
19,Challenger,,ADC,1143,88,58,60.3%
20,Challenger,,JUNGLE,1141,196,159,55.2%
21,Challenger,,SUP,1128,154,83,65.0%
22,Challenger,,SUP,1122,206,166,55.4%
23,Challenger,,MID,1117,87,47,64.9%
24,Challenger,,JUNGLE,1112,110,97,53.1%
25,Challenger,,ADC,1109,209,130,61.7%
26,Challenger,,MID,1097,158,152,51.0%
27,Challenger,,MID,1095,188,148,56.0%
28,Challenger,,MID,1094,144,97,59.8%
29,Challenger,,TOP,1093,155,126,55.2%
30,Challenger,,JUNGLE,1080,191,156,55.0%
31,Challenger,,JUNGLE,1074,228,209,52.2%
32,Challenger,,SUP,1072,90,63,58.8%
33,Challenger,,MID,1071,89,60,59.7%
34,Challenger,,ADC,1068,111,87,56.1%
35,Challenger,,ADC,1068,111,96,53.6%
36,Challenger,,TOP,1066,137,107,56.1%
37,Challenger,,JUNGLE,1063,77,35,68.8%
38,Challenger,,ADC,1058,103,77,57.2%
39,Challenger,,ADC,1055,86,64,57.3%
40,Challenger,,JUNGLE,1052,88,56,61.1%
41,Challenger,,SUP,1051,160,94,63.0%
42,Challenger,,SUP,1050,217,195,52.7%
43,Challenger,,ADC,1050,187,177,51.4%
44,Challenger,,TOP,1050,120,94,56.1%
45,Challenger,,JUNGLE,1047,165,106,60.9%
46,Challenger,,SUP,1047,99,64,60.7%
47,Challenger,,ADC,1046,105,33,76.1%
48,Challenger,,MID,1043,87,44,66.4%
49,Challenger,,JUNGLE,1041,101,72,58.4%
50,Challenger,,SUP,1040,181,126,59.0%
51,Grandmaster,,SUP,1036,113,88,56.2%
52,Grandmaster,,MID,1035,108,79,57.8%
53,Grandmaster,,ADC,1033,80,51,61.1%
54,Grandmaster,,JUNGLE,1025,91,69,56.9%
55,Grandmaster,,SUP,1024,104,68,60.5%
56,Grandmaster,,JUNGLE,1019,130,106,55.1%
57,Grandmaster,,JUNGLE,1008,110,96,53.4%
58,Grandmaster,,MID,1003,93,70,57.1%
59,Grandmaster,,MID,995,127,85,59.9%
60,Grandmaster,,MID,983,114,91,55.6%
61,Grandmaster,グレイラースＹ#JP1,SUP,978,278,270,50.7%
62,Grandmaster,かなう#burin,TOP,974,114,99,53.5%
63,Grandmaster,てぃんとん#1017,ADC,969,105,79,57.1%
64,Grandmaster,ふぇにっち#2350,SUP,961,135,108,55.6%
65,Grandmaster,poppyking#1212,TOP,961,63,40,61.2%
66,Grandmaster,房产手机网卡加好友#888,JUNGLE,948,260,259,50.1%
67,Grandmaster,ShoeBlLL#tw2,MID,947,94,58,61.8%
68,Grandmaster,純 愛#1124,ADC,945,113,96,54.1%
69,Grandmaster,raku#1205,SUP,939,104,79,56.8%
70,Grandmaster,773#ナナミ,JUNGLE,939,59,29,67.0%
71,Grandmaster,ONCE#JP1,JUNGLE,934,112,70,61.5%
72,Grandmaster,NMIXX#RANK1,ADC,929,102,80,56.0%
73,Grandmaster,大小姐驾到#Molly,JUNGLE,923,122,75,61.9%
74,Grandmaster,ブラキオサウルス#dino,TOP,916,112,83,57.4%
75,Grandmaster,ねすてぃー#7474,JUNGLE,907,183,167,52.3%
76,Grandmaster,Say less#fearr,MID,907,92,85,52.0%
77,Grandmaster,hourousummer#325,ADC,901,96,78,55.2%
78,Grandmaster,MayR#モーティス,ADC,899,92,71,56.4%
79,Grandmaster,4399赛尔号#奥特曼,TOP,898,134,119,53.0%
80,Grandmaster,裏八寸#JP2,MID,896,165,148,52.7%
81,Grandmaster,すやひめ#15ff,ADC,890,82,64,56.2%
82,Grandmaster,BC EL#JP1,JUNGLE,889,71,45,61.2%
83,Grandmaster,GOD of 笹村#ONZED,MID,873,78,59,56.9%
84,Grandmaster,suzukamui#jp2,SUP,873,66,45,59.5%
85,Grandmaster,gaman#7897,JUNGLE,872,120,106,53.1%
86,Grandmaster,Tele#JP1,ADC,865,168,134,55.6%
87,Grandmaster,ピンクビーン#JP1,SUP,858,342,306,52.8%
88,Grandmaster,Liam Gallagher#0812,TOP,858,124,108,53.4%
89,Grandmaster,chico#JP1,SUP,856,86,67,56.2%
90,Grandmaster,CTRLME#77777,JUNGLE,848,151,122,55.3%
91,Grandmaster,7 9#JP1,TOP,847,204,169,54.7%
92,Grandmaster,ヴァスタヤのパスタ屋#UDON,MID,823,78,55,58.6%
93,Grandmaster,黒服c#txy,MID,819,105,79,57.1%
94,Grandmaster,Wsavh#JP1,JUNGLE,819,62,41,60.2%
95,Grandmaster,hetel fanboy#JP1,TOP,814,170,118,59.0%
96,Grandmaster,葳信dianayqc#PWdd,MID,805,105,89,54.1%
97,Grandmaster,Badao1102c#2302,JUNGLE,804,80,60,57.1%
98,Grandmaster,Caffe#oxo,ADC,803,70,44,61.4%
99,Grandmaster,La pesca noce#Euw1,ADC,800,59,33,64.1%
100,Grandmaster,sad little taka#JP1,MID,798,93,78,54.4%
101,Grandmaster,Scarlet#JP0,SUP,796,83,53,61.0%
102,Grandmaster,CG Qoo#JP1,JUNGLE,783,72,54,57.1%
103,Grandmaster,一騎討#riven,MID,781,103,81,56.0%
104,Grandmaster,1vsAll#日新又日新,,779,56,41,57.7%
105,Grandmaster,小祈jungle#11750,,777,79,59,57.2%
106,Grandmaster,Leslie vast#1111,,775,312,307,50.4%
107,Grandmaster,loselinelosegame#999,,775,91,83,52.3%
108,Grandmaster,アカネ#JP7,,774,54,28,65.9%
109,Grandmaster,あんま自分を責めんな俺がいるけん#ran,,770,129,119,52.0%
110,Grandmaster,ふわしゃり#JP1,,769,64,46,58.2%
111,Grandmaster,I Am AtomiKSword#シャドウ,,760,187,142,56.8%
112,Grandmaster,POTUS#PORO,,759,232,216,51.8%
113,Grandmaster,ShadowIsles0#JP1,,758,184,167,52.4%
114,Grandmaster,チェゴヤ#0202,,758,141,93,60.3%
115,Grandmaster,JP ONANI KING#onani,,758,82,66,55.4%
116,Grandmaster,sup one#541,,753,158,132,54.5%
117,Grandmaster,FA J2#426,,753,92,52,63.9%
118,Grandmaster,Ellin#0000,,751,86,66,56.6%
119,Grandmaster,NickelHeart#JP1,,750,179,156,53.4%
120,Grandmaster,ももです#JP2,,748,172,155,52.6%
121,Grandmaster,LUNA ALBA LI XV#ALBUS,,747,117,92,56.0%
122,Grandmaster,hedonistic#JP1,,744,137,118,53.7%
123,Grandmaster,Bangha#TOP,,743,120,105,53.3%
124,Grandmaster,Minato aqua#ski,,743,84,25,77.1%
125,Grandmaster,Color Your Night#wing,,740,69,56,55.2%
126,Grandmaster,OMOIDEINMYHEAD#dkgi,,737,111,102,52.1%
127,Grandmaster,Veritasin#Xeb,,737,78,48,61.9%
128,Grandmaster,ゆにか#1122,,737,77,64,54.6%
129,Grandmaster,癒されたいかかし#8023,,735,85,58,59.4%
130,Grandmaster,jisyoku#2864,,734,142,137,50.9%
131,Grandmaster,狛枝へビスケット#6245,,733,123,87,58.6%
132,Grandmaster,cookiemeowmeow#人畜无害,,731,96,66,59.3%
133,Grandmaster,For Twice Sana#JP1,,730,51,25,67.1%
134,Grandmaster,うつ病#悦宝悦宝,,729,77,67,53.5%
135,Grandmaster,Aeroplant#JP0,,728,114,90,55.9%
136,Grandmaster,shottaka#JP1,,727,80,70,53.3%
137,Grandmaster,Milan#bb6,,725,170,139,55.0%
138,Grandmaster,きさま#0101,,725,127,76,62.6%
139,Grandmaster,初心者#0105,,724,153,129,54.3%
140,Grandmaster,uzume51#JP1,,722,149,134,52.7%
141,Grandmaster,ShaZam#0059,,722,72,56,56.2%
142,Grandmaster,フェルン#魔法師,,721,97,84,53.6%
143,Grandmaster,IM HAPPY#ガーン,,721,90,83,52.0%
144,Grandmaster,orobou#TTV,,720,230,212,52.0%
