rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,senzawa#JP1,JUNGLE,1633,140,96,59.3%
2,Challenger,AKALIKING#本体はゼド,MID,1581,104,62,62.7%
3,Challenger,鉄砲玉#JP1,TOP,1572,160,114,58.4%
4,Challenger,sign#520am,SUP,1508,198,127,60.9%
5,Challenger,Mokurooo#NKG,ADC,1432,118,74,61.5%
6,Challenger,天狐ハク#戀慕之情,MID,1367,156,97,61.7%
7,Challenger,無愛想#可愛くない,TOP,1337,121,71,63.0%
8,Challenger,天才剑修#巧克力,SUP,1328,132,79,62.6%
9,Challenger,ytzz#2426,TOP,1307,119,86,58.0%
10,Challenger,jisoo#bp777,ADC,1233,134,84,61.5%
11,Challenger,Sunflower#JP2,TOP,1217,125,52,70.6%
12,Challenger,さくら#9090,MID,1209,153,116,56.9%
13,Challenger,akaros#そらか,SUP,1205,93,53,63.7%
14,Challenger,RuneFactoryが大好きね#BlauR,ADC,1170,132,88,60.0%
15,Challenger,黄色のヨッシー#JP1,TOP,1169,134,103,56.5%
16,Challenger,くるみかん#123,JUNGLE,1168,231,193,54.5%
17,Challenger,TopK1ng#mnt,TOP,1162,81,49,62.3%
18,Challenger,定风波#520,JUNGLE,1161,197,159,55.3%
19,Challenger,Melody#I L,JUNGLE,1152,232,190,55.0%
20,Challenger,May#0823,JUNGLE,1149,112,97,53.6%
21,Challenger,潔世一#Majin,ADC,1143,88,58,60.3%
22,Challenger,Eugeo#DCWIN,MID,1137,88,47,65.2%
23,Challenger,Recap#125,MID,1114,191,150,56.0%
24,Challenger,Asuki#JP1,TOP,1113,156,126,55.3%
25,Challenger,かなう#burin,TOP,1107,123,101,54.9%
26,Challenger,Enty#ENTP1,SUP,1106,207,168,55.2%
27,Challenger,しゅんた1106#JP1,MID,1097,158,152,51.0%
28,Challenger,Hide on spi#spi,MID,1094,144,97,59.8%
29,Challenger,,ADC,1089,210,132,61.4%
30,Challenger,,JUNGLE,1080,191,156,55.0%
31,Challenger,,JUNGLE,1075,96,71,57.5%
32,Challenger,,JUNGLE,1074,228,209,52.2%
33,Challenger,,SUP,1072,90,63,58.8%
34,Challenger,,MID,1071,91,62,59.5%
35,Challenger,,ADC,1068,111,87,56.1%
36,Challenger,,ADC,1068,111,96,53.6%
37,Challenger,,TOP,1066,137,107,56.1%
38,Challenger,,JUNGLE,1063,102,72,58.6%
39,Challenger,,JUNGLE,1063,77,35,68.8%
40,Challenger,,ADC,1058,103,77,57.2%
41,Challenger,,SUP,1056,156,88,63.9%
42,Challenger,,ADC,1055,86,64,57.3%
43,Challenger,,SUP,1052,283,271,51.1%
44,Challenger,,SUP,1051,160,94,63.0%
45,Challenger,,SUP,1050,217,195,52.7%
46,Challenger,,ADC,1050,187,177,51.4%
47,Challenger,,TOP,1050,120,94,56.1%
48,Challenger,,JUNGLE,1050,89,58,60.5%
49,Challenger,,JUNGLE,1047,165,106,60.9%
50,Challenger,,SUP,1047,99,64,60.7%
51,Grandmaster,,ADC,1046,105,33,76.1%
52,Grandmaster,,MID,1043,88,45,66.2%
53,Grandmaster,,SUP,1040,181,126,59.0%
54,Grandmaster,,SUP,1024,104,68,60.5%
55,Grandmaster,,JUNGLE,1019,130,106,55.1%
56,Grandmaster,,SUP,1019,108,79,57.8%
57,Grandmaster,,JUNGLE,1008,110,96,53.4%
58,Grandmaster,,MID,995,127,85,59.9%
59,Grandmaster,,MID,995,108,81,57.1%
60,Grandmaster,,MID,983,114,91,55.6%
61,Grandmaster,,SUP,976,114,92,55.3%
62,Grandmaster,,ADC,969,105,79,57.1%
63,Grandmaster,,TOP,965,65,42,60.7%
64,Grandmaster,,MID,963,94,73,56.3%
65,Grandmaster,,SUP,961,135,108,55.6%
66,Grandmaster,,TOP,958,128,108,54.2%
67,Grandmaster,,ADC,953,80,55,59.3%
68,Grandmaster,,JUNGLE,953,60,30,66.7%
69,Grandmaster,,JUNGLE,948,261,260,50.1%
70,Grandmaster,,MID,947,94,58,61.8%
71,Grandmaster,,TOP,945,180,122,59.6%
72,Grandmaster,,ADC,945,113,96,54.1%
73,Grandmaster,,MID,938,81,60,57.4%
74,Grandmaster,,JUNGLE,934,112,70,61.5%
75,Grandmaster,,ADC,932,176,138,56.1%
76,Grandmaster,,JUNGLE,923,122,75,61.9%
77,Grandmaster,,TOP,916,112,83,57.4%
78,Grandmaster,,JUNGLE,912,73,46,61.3%
79,Grandmaster,ねすてぃー#7474,JUNGLE,907,183,167,52.3%
80,Grandmaster,Say less#fearr,MID,907,92,85,52.0%
81,Grandmaster,hourousummer#325,ADC,901,96,78,55.2%
82,Grandmaster,MayR#モーティス,ADC,899,92,71,56.4%
83,Grandmaster,4399赛尔号#奥特曼,TOP,898,134,119,53.0%
84,Grandmaster,裏八寸#JP2,MID,877,168,152,52.5%
85,Grandmaster,gaman#7897,JUNGLE,872,121,107,53.1%
86,Grandmaster,7 9#JP1,TOP,866,205,169,54.8%
87,Grandmaster,NMIXX#RANK1,ADC,854,102,80,56.0%
88,Grandmaster,suzukamui#jp2,SUP,853,66,46,58.9%
89,Grandmaster,CTRLME#77777,JUNGLE,848,151,122,55.3%
90,Grandmaster,ヴァスタヤのパスタ屋#UDON,MID,843,81,57,58.7%
91,Grandmaster,chico#JP1,SUP,828,87,69,55.8%
92,Grandmaster,Wsavh#JP1,JUNGLE,819,62,41,60.2%
93,Grandmaster,すやひめ#15ff,ADC,815,82,64,56.2%
94,Grandmaster,Veritasin#Xeb,TOP,814,82,48,63.1%
95,Grandmaster,ShadowIsles0#JP1,JUNGLE,812,189,169,52.8%
96,Grandmaster,葳信dianayqc#PWdd,MID,805,105,89,54.1%
97,Grandmaster,Badao1102c#2302,JUNGLE,804,80,60,57.1%
98,Grandmaster,Caffe#oxo,ADC,803,70,44,61.4%
99,Grandmaster,一騎討#riven,MID,801,104,81,56.2%
100,Grandmaster,La pesca noce#Euw1,ADC,800,59,33,64.1%
101,Grandmaster,Scarlet#JP0,SUP,796,83,53,61.0%
102,Grandmaster,loselinelosegame#999,,795,92,83,52.6%
103,Grandmaster,CG Qoo#JP1,JUNGLE,783,72,54,57.1%
104,Grandmaster,黒服c#txy,MID,779,105,81,56.5%
105,Grandmaster,1vsAll#日新又日新,,779,56,41,57.7%
106,Grandmaster,sad little taka#JP1,MID,778,93,79,54.1%
107,Grandmaster,小祈jungle#11750,,777,79,59,57.2%
108,Grandmaster,Leslie vast#1111,,775,312,307,50.4%
109,Grandmaster,アカネ#JP7,,774,54,28,65.9%
110,Grandmaster,Ellin#0000,,772,87,66,56.9%
111,Grandmaster,NickelHeart#JP1,,770,180,156,53.6%
112,Grandmaster,あんま自分を責めんな俺がいるけん#ran,,770,129,119,52.0%
113,Grandmaster,うつ病#悦宝悦宝,,769,80,68,54.1%
114,Grandmaster,ふわしゃり#JP1,,769,64,46,58.2%
115,Grandmaster,ピンクビーン#JP1,SUP,760,349,319,52.2%
116,Grandmaster,I Am AtomiKSword#シャドウ,,760,187,142,56.8%
117,Grandmaster,チェゴヤ#0202,,758,143,95,60.1%
118,Grandmaster,JP ONANI KING#onani,,758,82,66,55.4%
119,Grandmaster,sup one#541,,753,158,132,54.5%
120,Grandmaster,狛枝へビスケット#6245,,753,124,87,58.8%
121,Grandmaster,ももです#JP2,,748,172,155,52.6%
122,Grandmaster,LUNA ALBA LI XV#ALBUS,,747,117,92,56.0%
123,Grandmaster,shottaka#JP1,,747,81,70,53.6%
124,Grandmaster,Milan#bb6,,745,172,140,55.1%
125,Grandmaster,まっちょ#5840,,743,245,216,53.1%
126,Grandmaster,Bangha#TOP,,743,120,105,53.3%
127,Grandmaster,Minato aqua#ski,,743,84,25,77.1%
128,Grandmaster,Color Your Night#wing,,740,69,56,55.2%
129,Grandmaster,POTUS#PORO,,739,232,217,51.7%
130,Grandmaster,OMOIDEINMYHEAD#dkgi,,737,111,102,52.1%
131,Grandmaster,ゆにか#1122,,737,77,64,54.6%
132,Grandmaster,癒されたいかかし#8023,,735,85,58,59.4%
133,Grandmaster,jisyoku#2864,,734,142,137,50.9%
134,Grandmaster,FA J2#426,,733,92,53,63.4%
135,Grandmaster,cookiemeowmeow#人畜无害,,731,96,66,59.3%
136,Grandmaster,For Twice Sana#JP1,,730,51,25,67.1%
137,Grandmaster,標的ヲ背ニシタ恋人たち#雪国小魔女,,727,176,164,51.8%
138,Grandmaster,きさま#0101,,725,127,76,62.6%
139,Grandmaster,初心者#0105,,724,153,129,54.3%
140,Grandmaster,uzume51#JP1,,722,149,134,52.7%
141,Grandmaster,ShaZam#0059,,722,72,56,56.2%
142,Grandmaster,orobou#TTV,,721,233,215,52.0%
143,Grandmaster,IM HAPPY#ガーン,,721,91,84,52.0%
144,Grandmaster,やなみあんな#負けヒロ,,720,168,142,54.2%
