rank,player,role,lp,wins,losses,win_rate
1,AKALIKING#本体はゼド,MID,1547,94,54,63.5%
2,sign#520am,SUP,1541,186,114,62.0%
3,鉄砲玉#JP1,TOP,1505,150,110,57.7%
4,天狐ハク#戀慕之情,MID,1454,154,91,62.9%
5,無愛想#可愛くない,TOP,1443,116,62,65.2%
6,Mokurooo#NKG,ADC,1360,109,68,61.6%
7,かなう#burin,TOP,1303,100,70,58.8%
8,さくら#9090,MID,1277,144,105,57.8%
9,Asuki#JP1,ADC,1268,116,86,57.4%
10,senzawa#JP1,JUNGLE,1263,98,76,56.3%
11,ytzz#2426,ADC,1243,107,77,58.2%
12,Recap#125,MID,1238,171,127,57.4%
13,Sunflower#JP2,TOP,1217,125,52,70.6%
14,定风波#520,JUNGLE,1153,159,123,56.4%
15,白鶴仙童#MYZZ,JUNGLE,1152,158,97,62.0%
16,RuneFactoryが大好きね#BlauR,ADC,1148,128,85,60.1%
17,潔世一#Majin,ADC,1132,79,48,62.2%
18,akaros#そらか,SUP,1128,86,50,63.2%
19,Melody#I L,JUNGLE,1122,229,189,54.8%
20,Yuhi#045,ADC,1096,85,59,59.0%
21,Dopaminw#OUI,JUNGLE,1094,187,152,55.2%
22,I Am AtomiK#シャドウ,JUNGLE,1094,186,171,52.1%
23,Eugeo#DCWIN,MID,1087,82,44,65.1%
24,しゅんた1106#JP1,TOP,1083,130,126,50.8%
25,くるみかん#123,JUNGLE,1072,222,190,53.9%
26,Enty#ENTP1,SUP,1069,203,165,55.2%
27,china đoóc#2302,JUNGLE,1068,106,89,54.4%
28,學無止境#Only,MID,1068,80,36,69.0%
29,ωNαNαω#404ad,ADC,1055,101,86,54.0%
30,ねすてぃー#7777,JUNGLE,1052,96,67,58.9%
31,always#inori,ADC,1046,95,69,57.9%
32,本間心鈴#美しい虚無,SUP,1042,85,54,61.2%
33,白雪ひな#JP16,MID,1038,107,78,57.8%
34,てぃんとん#1017,ADC,1032,96,69,58.2%
35,黄色のヨッシー#JP1,TOP,1029,108,82,56.8%
36,jisoo#bp777,ADC,1028,99,60,62.3%
37,負けない人生負けない気持ち#061i,ADC,1014,163,154,51.4%
38,大小姐驾到#Molly,JUNGLE,1014,117,66,63.9%
39,namazun#JP1,ADC,1012,72,44,62.1%
40,Tele#JP1,ADC,1010,135,101,57.2%
41,szerzno#bomba,SUP,1008,138,113,55.0%
42,Hide on spi#spi,MID,1007,138,96,59.0%
43,初心者#0105,TOP,1005,150,113,57.0%
44,aspire#JINBU,MID,1000,108,84,56.2%
45,すやひめ#15ff,JUNGLE,997,77,61,55.8%
46,泳ぎたいたい焼き#JP1,SUP,995,72,48,60.0%
47,ふぇにっち#2350,SUP,991,131,103,56.0%
48,天才剑修#巧克力,SUP,984,101,66,60.5%
49,hetel#JP1,SUP,963,79,48,62.2%
50,葳信dianayqc#PWdd,MID,933,96,76,55.8%
