rank,player,role,lp,wins,losses,win_rate
1,sign#520am,SUP,1569,189,115,62.2%
2,AKALIKING#本体はゼド,MID,1562,96,55,63.6%
3,鉄砲玉#JP1,TOP,1505,150,110,57.7%
4,天狐ハク#戀慕之情,MID,1454,154,91,62.9%
5,無愛想#可愛くない,TOP,1443,116,62,65.2%
6,Mokurooo#NKG,ADC,1396,111,68,62.0%
7,かなう#burin,TOP,1320,101,70,59.1%
8,Asuki#JP1,ADC,1317,121,88,57.9%
9,さくら#9090,MID,1274,145,106,57.8%
10,senzawa#JP1,JUNGLE,1255,102,80,56.0%
11,ytzz#2426,ADC,1243,107,77,58.2%
12,Recap#125,MID,1238,171,127,57.4%
13,Sunflower#JP2,TOP,1217,125,52,70.6%
14,ωNαNαω#404ad,ADC,1184,109,88,55.3%
15,I Am AtomiK#シャドウ,JUNGLE,1166,190,171,52.6%
16,白鶴仙童#MYZZ,JUNGLE,1152,158,97,62.0%
17,RuneFactoryが大好きね#BlauR,ADC,1148,128,85,60.1%
18,潔世一#Majin,ADC,1132,79,48,62.2%
19,定风波#520,JUNGLE,1128,161,126,56.1%
20,Melody#I L,JUNGLE,1122,229,189,54.8%
21,ユーハイ#045,ADC,1109,209,130,61.7%
22,くるみかん#123,JUNGLE,1108,224,190,54.1%
23,akaros#そらか,SUP,1106,86,51,62.8%
24,Eugeo#DCWIN,MID,1087,82,44,65.1%
25,Dopaminw#OUI,JUNGLE,1085,189,154,55.1%
26,china đoóc#2302,JUNGLE,1082,108,91,54.3%
27,天才剑修#巧克力,SUP,1076,106,66,61.6%
28,Enty#ENTP1,SUP,1069,203,165,55.2%
29,學無止境#Only,MID,1068,80,36,69.0%
30,しゅんた1106#JP1,TOP,1058,132,129,50.6%
31,泳ぎたいたい焼き#JP1,SUP,1055,78,51,60.5%
32,ねすてぃー#7777,JUNGLE,1052,96,67,58.9%
33,本間心鈴#美しい虚無,SUP,1042,85,54,61.2%
34,jisoo#bp777,ADC,1041,103,63,62.0%
35,Hide on spi#spi,MID,1039,141,97,59.2%
36,てぃんとん#1017,ADC,1032,96,69,58.2%
37,always#inori,ADC,1028,99,74,57.2%
38,TopK1ng#mnt,TOP,1021,70,44,61.4%
39,すやひめ#15ff,JUNGLE,1020,79,62,56.0%
40,aspire#JINBU,MID,1018,110,85,56.4%
41,白雪ひな#JP16,MID,1016,107,79,57.5%
42,負けない人生負けない気持ち#061i,ADC,1014,163,154,51.4%
43,大小姐驾到#Molly,JUNGLE,1014,117,66,63.9%
44,namazun#JP1,ADC,1012,72,44,62.1%
45,GraceEye#DMC神台,MID,1011,85,59,59.0%
46,Tele#JP1,ADC,1010,135,101,57.2%
47,szerzno#bomba,SUP,1008,138,113,55.0%
48,初心者#0105,TOP,1005,150,113,57.0%
49,黄色のヨッシー#JP1,TOP,985,109,85,56.2%
50,Yuhi#045,ADC,956,90,71,55.9%
